,Q1-2023,Q4-2022,Q3-2022,Q2-2022,Q1-2022,Q4-2021,Q3-2021,Q2-2021,Q1-2021,Q4-2020,Q3-2020,Q2-2020,Q1-2020,Q4-2019,Q3-2019,Q2-2019,Q1-2019,Q4-2018,Q3-2018,Q2-2018,Q1-2018,Q4-2017,Q3-2017,Q2-2017,Q1-2017,Q4-2016,Q3-2016,Q2-2016,Q1-2016,Q4-2015,Q3-2015,Q2-2015,Q1-2015,Q4-2014,Q3-2014,Q2-2014,Q1-2014,Q4-2013,Q3-2013,Q2-2013,Q1-2013,Q4-2012,Q3-2012,Q2-2012,Q1-2012,Q4-2011,Q3-2011,Q2-2011,Q1-2011
ticker,APG,APG,APG,APG,APG,APG,APG,APG,APG,APG,APG,APG,APG,APG,APG,APG,APG,APG,APG,APG,APG,APG,APG,APG,APG,APG,APG,APG,APG,APG,APG,APG,APG,APG,APG,APG,APG,APG,APG,APG,APG,APG,APG,APG,APG,APG,APG,APG,APG
quarter,Q1,Q4,Q3,Q2,Q1,Q4,Q3,Q2,Q1,Q4,Q3,Q2,Q1,Q4,Q3,Q2,Q1,Q4,Q3,Q2,Q1,Q4,Q3,Q2,Q1,Q4,Q3,Q2,Q1,Q4,Q3,Q2,Q1,Q4,Q3,Q2,Q1,Q4,Q3,Q2,Q1,Q4,Q3,Q2,Q1,Q4,Q3,Q2,Q1
year,2023,2022,2022,2022,2022,2021,2021,2021,2021,2020,2020,2020,2020,2019,2019,2019,2019,2018,2018,2018,2018,2017,2017,2017,2017,2016,2016,2016,2016,2015,2015,2015,2015,2014,2014,2014,2014,2013,2013,2013,2013,2012,2012,2012,2012,2011,2011,2011,2011
priceToEarning,-5.2,-4.4,6.3,3.9,6.9,11.3,20.5,20.5,25.1,38.5,29.4,26.9,29.2,51.1,131.0,127.3,87.4,45.5,44.8,60.2,41.4,36.6,63.4,62.2,-3235.7,2932.3,20.2,17.9,14.1,10.7,47.2,56.6,37.3,,,,,,,,,,,,,,,,
priceToBook,0.8,0.6,0.5,0.5,1.3,3.0,2.3,2.5,2.0,2.5,2.3,1.9,1.9,3.2,3.1,3.5,3.2,3.4,3.0,2.5,2.4,2.1,2.1,2.0,2.5,2.4,3.8,3.4,2.4,1.9,2.5,3.0,2.7,,,,,,,,,,,,,,,,
valueBeforeEbitda,-4.4,-4.7,5.0,1.8,2.6,5.4,22.2,19.6,18.3,10.5,9.6,9.9,11.7,10.0,34.2,25.4,20.7,19.6,7.8,23.4,6.9,4.2,6.5,4.5,50.7,38.1,1.0,2.9,,1.7,4.6,2.6,,,,,,,,,,,-0.3,-1.3,-1.6,-0.9,,,10.4
roe,-0.143,-0.164,0.113,0.217,0.302,0.379,0.154,0.132,0.082,0.067,0.081,0.074,0.066,0.091,0.034,0.04,0.053,0.075,0.068,0.042,0.06,0.058,0.034,0.033,-0.001,0.001,0.208,0.209,0.187,,,,,,,,,,,,,,,,,,,,
roa,-0.133,-0.151,0.103,0.198,0.274,0.338,0.144,0.123,0.079,0.065,0.08,0.073,0.064,0.089,0.034,0.039,0.052,0.073,0.067,0.04,0.057,0.056,0.032,0.03,-0.001,0.001,0.183,0.184,0.163,0.168,0.045,0.045,0.059,0.056,0.029,0.039,0.042,0.039,-0.019,-0.038,0.007,0.005,-0.232,-0.243,-0.308,-0.311,-0.052,-0.024,0.038
daysReceivable,4244.0,1994.0,791.0,641.0,632.0,467.0,1005.0,882.0,1327.0,2586.0,806.0,733.0,677.0,,,,,,,,,,,,,335.0,,,,58.0,,3.0,3.0,3.0,2.0,3.0,3.0,3.0,2.0,3.0,3.0,2.0,242.0,203.0,183.0,155.0,101.0,85.0,55.0
daysPayable,0.0,5.0,0.0,5.0,2.0,30.0,32.0,339.0,32.0,31.0,3.0,4.0,0.0,,5.0,8.0,,,,,,,,,,,,,,57.0,,,,-21.0,,,1.0,,,,-3.0,,,,0.0,,0.0,0.0,1.0
earningPerShare,-1664,-1421,970,1611,2298,1824,632,364,220,177,205,184,164,162,57,66,89,148,132,80,115,112,64,62,-1,1,350,352,318,331,80,80,109,108,48,70,68,65,-28,-62,9,6,-392,-408,-509,-514,-104,-51,92
bookValuePerShare,10880.0,10469.0,11560.0,11895.0,12423.0,6881.0,5580.0,2952.0,2791.0,2743.0,2627.0,2588.0,2575.0,2557.0,2421.0,2402.0,2410.0,1983.0,1973.0,1919.0,1977.0,1976.0,1928.0,1926.0,1861.0,1864.0,1863.0,1863.0,1863.0,1862.0,1512.0,1511.0,1544.0,,,,,,,,,,,,,,,,
equityOnTotalAsset,0.974,0.965,0.904,0.912,0.894,0.862,0.913,0.906,0.963,0.974,0.974,0.977,0.96,0.97,0.99,0.987,0.989,0.974,0.986,0.982,0.983,0.983,0.985,0.93,0.921,0.924,0.902,0.908,0.896,0.885,0.851,0.848,0.845,,,,,,,,,,,,,,,,
equityOnLiability,37.7,27.9,9.4,10.4,8.5,6.2,10.5,9.7,25.7,36.8,37.1,43.0,24.1,32.4,99.5,76.2,88.5,38.2,71.1,53.2,57.7,56.4,64.6,13.4,11.6,12.2,9.2,9.9,8.6,7.7,5.7,5.6,5.5,4.8,3.9,3.8,3.0,2.3,11.3,2.8,81.2,124.3,80.8,81.5,72.5,46.3,12.5,20.4,32.0
currentPayment,30.7,22.9,9.1,9.8,7.9,6.0,8.0,6.1,14.5,18.3,17.2,20.0,10.7,33.0,97.3,74.8,88.6,38.3,70.6,53.0,57.4,56.1,64.2,14.1,12.3,13.0,10.0,10.7,9.4,8.4,6.5,6.4,6.2,5.6,4.7,4.6,3.9,3.2,11.6,3.6,76.4,116.2,75.1,75.4,67.0,42.9,12.7,20.1,30.9
quickPayment,30.7,22.9,9.1,9.8,7.9,6.0,8.0,6.1,14.5,18.3,17.2,20.0,10.7,33.0,97.3,74.8,88.6,38.3,70.6,53.0,57.4,56.1,64.2,14.1,12.3,13.0,10.0,10.7,9.4,8.4,6.5,6.4,6.2,5.6,4.7,4.6,3.9,3.2,11.6,3.6,76.4,116.2,75.1,75.4,67.0,42.9,12.7,20.1,30.9
