,Q1-2023,Q4-2022,Q3-2022,Q2-2022,Q1-2022,Q4-2021,Q3-2021,Q2-2021,Q1-2021,Q4-2020,Q3-2020,Q2-2020,Q1-2020,Q4-2019,Q3-2019,Q2-2019,Q1-2019,Q4-2018,Q3-2018,Q2-2018,Q1-2018,Q4-2017,Q3-2017,Q2-2017
ticker,MBS,MBS,MBS,MBS,MBS,MBS,MBS,MBS,MBS,MBS,MBS,MBS,MBS,MBS,MBS,MBS,MBS,MBS,MBS,MBS,MBS,MBS,MBS,MBS
quarter,Q1,Q4,Q3,Q2,Q1,Q4,Q3,Q2,Q1,Q4,Q3,Q2,Q1,Q4,Q3,Q2,Q1,Q4,Q3,Q2,Q1,Q4,Q3,Q2
year,2023,2022,2022,2022,2022,2021,2021,2021,2021,2020,2020,2020,2020,2019,2019,2019,2019,2018,2018,2018,2018,2017,2017,2017
priceToEarning,13.8,9.1,10.9,7.2,14.4,20.1,18.5,23.3,14.1,13.2,9.6,9.6,8.3,10.0,14.2,13.4,15.5,12.4,16.2,17.6,34.0,95.5,96.5,83.3
priceToBook,1.3,1.0,1.7,1.3,2.7,3.5,2.9,3.0,2.2,1.7,1.1,1.1,0.8,1.4,1.5,1.5,1.7,1.5,2.0,1.7,2.2,1.8,1.5,1.1
valueBeforeEbitda,13.2,11.8,10.2,10.0,10.5,13.6,16.9,17.0,16.6,10.0,11.1,7.4,4.7,5.0,6.7,7.1,6.2,6.4,5.7,9.9,9.3,11.9,11.3,7.7
roe,0.106,0.13,0.174,0.2,0.238,0.214,0.197,0.159,0.165,0.144,0.128,0.122,0.113,0.146,0.111,0.118,0.115,0.129,0.133,0.1,0.065,0.018,0.015,0.014
roa,0.04,0.047,0.054,0.067,0.068,0.065,0.065,0.057,0.054,0.046,0.047,0.048,0.047,0.054,0.04,0.044,0.04,0.044,0.046,0.034,0.021,0.006,0.005,0.005
daysReceivable,899.0,742.0,627.0,590.0,484.0,489.0,552.0,613.0,626.0,656.0,713.0,720.0,822.0,,,,,,,,,,,
daysPayable,10,13,5,5,5,83,4,5,5,157,4,5,4,9,4,5,6,6,4,3,4,5,4,4
earningPerShare,1143,1351,1610,1774,1805,1541,1349,1033,899,706,603,555,517,855,637,658,615,662,679,512,325,89,72,68
bookValuePerShare,12103,11785,10032,9714,9490,8964,8515,8033,5676,5414,5157,4989,5245,6240,6020,5850,5598,5457,5456,5265,5064,4800,4782,4986
equityOnTotalAsset,0.482,0.421,0.317,0.332,0.292,0.309,0.304,0.343,0.272,0.294,0.376,0.39,0.417,0.352,0.352,0.391,0.406,0.387,0.38,0.351,0.3,0.301,0.309,0.321
equityOnLiability,0.9,0.7,0.5,0.5,0.4,0.4,0.4,0.5,0.4,0.4,0.6,0.6,0.7,0.5,0.5,0.6,0.7,0.6,0.6,0.5,0.4,0.4,0.4,0.5
currentPayment,1.8,1.7,1.5,1.6,1.6,1.6,1.6,1.7,1.4,1.4,1.7,1.9,2.1,1.8,1.9,2.0,2.2,2.5,2.3,2.1,1.9,1.8,1.8,1.9
quickPayment,1.8,1.7,1.5,1.6,1.6,1.6,1.6,1.7,1.4,1.4,1.7,1.9,2.1,1.8,1.9,2.0,2.2,2.5,2.3,2.1,1.9,1.8,1.8,1.9
epsChange,-0.154,-0.161,-0.093,-0.017,0.171,0.142,0.305,0.15,0.274,0.17,0.086,0.073,-0.394,0.342,-0.032,0.069,-0.071,-0.024,0.326,0.575,2.632,0.233,0.062,0.384
ebitdaOnStock,2874,3286,4370,4498,5552,4789,4123,3379,3824,3646,3301,3196,3025,3738,3054,3049,3041,3150,3303,2910,2364,1741,1584,1373
grossProfitMargin,0.658,0.679,0.646,0.556,0.646,0.614,0.663,0.481,0.556,0.542,0.555,0.656,0.474,0.558,0.549,0.628,0.594,0.331,0.574,0.526,0.425,0.322,0.385,0.412
operatingProfitMargin,0.663,0.52,0.576,0.468,0.568,0.479,0.565,0.374,0.466,0.484,0.483,0.504,0.381,0.448,0.463,0.484,0.559,0.174,0.482,0.398,0.393,0.19,0.289,0.286
postTaxMargin,0.361,0.178,0.282,0.235,0.328,0.26,0.357,0.205,0.249,0.276,0.254,0.282,0.118,0.214,0.199,0.269,0.3,0.002,0.234,0.188,0.232,0.016,0.032,0.028
debtOnEquity,1.0,1.2,1.8,1.8,2.1,1.8,1.9,1.3,1.5,1.1,0.9,0.8,0.4,0.5,0.6,0.6,0.6,0.3,0.4,0.2,0.7,0.5,0.4,0.2
debtOnAsset,0.5,0.5,0.6,0.6,0.6,0.6,0.6,0.4,0.4,0.3,0.3,0.3,0.2,0.2,0.2,0.2,0.2,0.1,0.2,0.1,0.2,0.2,0.1,0.1
debtOnEbitda,6.5,5.5,5.5,4.4,4.5,4.1,4.3,3.7,3.3,2.9,2.9,2.7,2.0,1.4,2.2,1.8,2.5,1.4,1.4,0.9,2.3,2.5,2.4,2.1
assetOnEquity,2.1,2.4,3.2,3.0,3.4,3.2,3.3,2.9,3.7,3.4,2.7,2.6,2.4,2.8,2.8,2.6,2.5,2.6,2.6,2.8,3.3,3.3,3.2,3.1
capitalBalance,3885,3955,3741,3949,4414,4002,3854,3475,2023,1940,1937,2070,2414,2070,2102,1928,1973,2179,2094,2036,2064,1906,1820,1886
cashOnEquity,0.017,0.043,0.167,0.045,0.061,0.035,0.047,0.101,0.069,0.047,0.082,0.058,0.2,0.248,0.143,0.061,0.236,0.314,0.079,0.199,0.211,0.204,0.134,0.436
cashOnCapitalize,0.01,0.031,0.11,0.029,0.04,0.014,0.017,0.035,0.02,0.026,0.043,0.059,0.248,0.277,0.134,0.055,0.197,0.238,0.065,0.127,0.143,0.119,0.092,0.369
revenueOnWorkCapital,0.4,0.5,0.6,0.6,0.8,0.7,0.7,0.6,0.6,0.6,0.5,0.5,0.4,,,,,,,,,,,
capexOnFixedAsset,0.055,0.0,-1.036,-0.932,-1.088,-1.043,-0.641,-0.645,-0.386,-0.349,-0.447,-0.382,-0.849,-0.827,-0.894,-0.816,-0.907,-0.954,-1.265,-1.19,-0.762,-0.589,-0.889,-1.163
revenueOnAsset,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.2,0.2,0.2,0.2
postTaxOnPreTax,0.8,0.7,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,1.2,1.2,1.3,1.3,1.6,1.3,1.2,1.0,1.0,1.0,1.0
ebitOnRevenue,0.663,0.52,0.576,0.468,0.568,0.479,0.565,0.374,0.466,0.484,0.483,0.504,0.381,0.448,0.463,0.484,0.559,0.174,0.482,0.398,0.393,0.19,0.289,0.286
preTaxOnEbit,0.7,0.5,0.6,0.6,0.7,0.7,0.8,0.7,0.7,0.7,0.7,0.7,0.4,0.6,0.5,0.7,0.7,0.0,0.6,0.6,0.6,0.1,0.1,0.1
payableOnEquity,1.1,1.4,2.2,2.0,2.4,2.2,2.3,1.9,2.7,2.4,1.7,1.6,1.4,1.8,1.8,1.6,1.5,1.6,1.6,1.8,2.3,2.3,2.2,2.1
ebitdaOnStockChange,-0.125,-0.248,-0.028,-0.19,0.159,0.161,0.22,-0.116,0.049,0.104,0.033,0.057,-0.191,0.224,0.002,0.003,-0.035,-0.046,0.135,0.231,0.358,0.099,0.154,0.2
bookValuePerShareChange,0.027,0.175,0.033,0.024,0.059,0.053,0.06,0.415,0.049,0.05,0.034,-0.049,-0.159,0.036,0.029,0.045,0.026,0.0,0.036,0.04,0.055,0.004,-0.041,0.001
