,Q1-2023,Q4-2022,Q3-2022,Q2-2022,Q1-2022,Q4-2021,Q3-2021,Q2-2021,Q1-2021,Q4-2020,Q3-2020,Q2-2020,Q1-2020,Q4-2019,Q3-2019,Q2-2019,Q1-2019,Q4-2018,Q3-2018,Q2-2018,Q1-2018,Q4-2017,Q3-2017,Q2-2017,Q1-2017,Q4-2016,Q3-2016,Q2-2016,Q1-2016,Q4-2015,Q3-2015,Q2-2015,Q1-2015,Q4-2014,Q3-2014,Q2-2014,Q1-2014,Q4-2013,Q3-2013,Q2-2013,Q1-2013,Q4-2012,Q3-2012,Q2-2012,Q1-2012,Q4-2011,Q3-2011,Q2-2011,Q1-2011
ticker,ORS,ORS,ORS,ORS,ORS,ORS,ORS,ORS,ORS,ORS,ORS,ORS,ORS,ORS,ORS,ORS,ORS,ORS,ORS,ORS,ORS,ORS,ORS,ORS,ORS,ORS,ORS,ORS,ORS,ORS,ORS,ORS,ORS,ORS,ORS,ORS,ORS,ORS,ORS,ORS,ORS,ORS,ORS,ORS,ORS,ORS,ORS,ORS,ORS
quarter,Q1,Q4,Q3,Q2,Q1,Q4,Q3,Q2,Q1,Q4,Q3,Q2,Q1,Q4,Q3,Q2,Q1,Q4,Q3,Q2,Q1,Q4,Q3,Q2,Q1,Q4,Q3,Q2,Q1,Q4,Q3,Q2,Q1,Q4,Q3,Q2,Q1,Q4,Q3,Q2,Q1,Q4,Q3,Q2,Q1,Q4,Q3,Q2,Q1
year,2023,2022,2022,2022,2022,2021,2021,2021,2021,2020,2020,2020,2020,2019,2019,2019,2019,2018,2018,2018,2018,2017,2017,2017,2017,2016,2016,2016,2016,2015,2015,2015,2015,2014,2014,2014,2014,2013,2013,2013,2013,2012,2012,2012,2012,2011,2011,2011,2011
priceToEarning,-288.3,11.6,12.1,18.9,16.2,24.3,26.2,26.2,16.4,19.1,11.6,11.9,7.4,17.1,31.4,187.7,-83.6,-57.9,-71.7,-47.4,-838.2,-153.7,-55.6,-49.8,-25.3,-47.5,-29.7,-155.8,296.1,178.7,45.7,149.1,60.3,,,,,,,,,,,,,,,,
priceToBook,1.3,0.7,1.0,1.3,2.3,2.4,2.5,4.6,2.3,1.6,2.5,2.7,1.6,3.0,3.2,3.7,4.4,10.9,10.5,8.2,8.1,6.7,7.1,8.5,8.6,8.9,6.8,9.0,7.7,8.0,6.4,7.1,6.6,,,,,,,,,,,,,,,,
valueBeforeEbitda,9.0,4.5,3.5,2.7,3.9,10.5,11.8,14.0,18.1,8.2,3.5,2.4,0.6,3.2,-0.4,-0.2,,-0.2,,,505.7,-22.8,40.0,31.7,,25.4,,76.9,-86.1,-58.3,-26.4,-81.1,-38.2,,,,,,,,,,,,,,,,
roe,-0.004,0.067,0.088,0.093,0.196,0.137,0.16,0.266,0.217,0.135,0.266,0.28,0.269,0.292,0.165,0.031,-0.081,-0.171,-0.137,-0.159,-0.01,-0.043,-0.12,-0.157,-0.292,-0.172,-0.206,-0.056,0.026,,,,,,,,,,,,,,,,,,,,
roa,-0.002,0.026,0.031,0.033,0.086,0.062,0.053,0.096,0.104,0.066,0.097,0.211,0.254,0.236,0.071,0.013,-0.034,-0.041,-0.019,-0.023,-0.001,-0.007,-0.019,-0.025,-0.051,-0.029,-0.037,-0.01,0.005,0.008,0.025,0.008,0.019,0.001,-0.184,-0.186,-0.185,-0.188,-0.001,0.0,-0.001,0.0,-0.032,-0.027,-0.073,-0.044,0.001,0.006,0.057
daysReceivable,671.0,626.0,690.0,642.0,613.0,823.0,966.0,790.0,763.0,1012.0,841.0,333.0,377.0,,,,,,,,,,,,,47.0,161.0,40.0,32.0,51.0,78.0,356.0,376.0,365.0,398.0,410.0,504.0,475.0,350.0,275.0,203.0,167.0,79.0,34.0,22.0,17.0,14.0,11.0,19.0
daysPayable,0.0,0.0,0.0,0.0,,0.0,0.0,1.0,0.0,1.0,0.0,7.0,1.0,2.0,0.0,3.0,0.0,0.0,,,,,1.0,7.0,0.0,,4.0,4.0,0.0,,2.0,63.0,,,1.0,0.0,0.0,,-14.0,0.0,-28.0,-9.0,0.0,0.0,0.0,0.0,,0.0,0.0
