,Q1-2023,Q4-2022,Q3-2022,Q2-2022,Q1-2022,Q4-2021,Q3-2021,Q2-2021,Q1-2021,Q4-2020,Q3-2020,Q2-2020,Q1-2020,Q4-2019,Q3-2019,Q2-2019,Q1-2019,Q4-2018,Q3-2018,Q2-2018,Q1-2018,Q4-2017,Q3-2017,Q2-2017,Q1-2017,Q4-2016,Q3-2016,Q2-2016,Q1-2016,Q4-2015,Q3-2015,Q2-2015,Q1-2015,Q4-2014,Q3-2014,Q2-2014,Q1-2014,Q4-2013,Q3-2013,Q2-2013,Q1-2013,Q4-2012,Q3-2012,Q2-2012,Q1-2012,Q4-2011,Q3-2011,Q2-2011,Q1-2011,Q4-2010,Q3-2010,Q2-2010
ticker,SHS,SHS,SHS,SHS,SHS,SHS,SHS,SHS,SHS,SHS,SHS,SHS,SHS,SHS,SHS,SHS,SHS,SHS,SHS,SHS,SHS,SHS,SHS,SHS,SHS,SHS,SHS,SHS,SHS,SHS,SHS,SHS,SHS,SHS,SHS,SHS,SHS,SHS,SHS,SHS,SHS,SHS,SHS,SHS,SHS,SHS,SHS,SHS,SHS,SHS,SHS,SHS
quarter,Q1,Q4,Q3,Q2,Q1,Q4,Q3,Q2,Q1,Q4,Q3,Q2,Q1,Q4,Q3,Q2,Q1,Q4,Q3,Q2,Q1,Q4,Q3,Q2,Q1,Q4,Q3,Q2,Q1,Q4,Q3,Q2,Q1,Q4,Q3,Q2,Q1,Q4,Q3,Q2,Q1,Q4,Q3,Q2,Q1,Q4,Q3,Q2,Q1,Q4,Q3,Q2
year,2023,2022,2022,2022,2022,2021,2021,2021,2021,2020,2020,2020,2020,2019,2019,2019,2019,2018,2018,2018,2018,2017,2017,2017,2017,2016,2016,2016,2016,2015,2015,2015,2015,2014,2014,2014,2014,2013,2013,2013,2013,2012,2012,2012,2012,2011,2011,2011,2011,2010,2010,2010
priceToEarning,-92.8,42.1,14.5,11.8,11.9,15.5,13.2,12.6,8.9,10.2,8.3,8.1,6.6,6.4,5.8,7.1,7.4,5.7,6.7,5.3,7.9,8.9,9.8,11.5,10.1,7.9,6.5,7.1,8.5,9.2,46.3,16.8,20.3,,,,,,,,,,,,,,,,,,,
priceToBook,1.2,0.7,0.9,0.9,2.7,3.6,3.8,3.1,2.3,2.4,1.3,1.1,0.6,0.6,0.7,0.8,1.1,1.1,1.5,1.3,2.3,2.3,2.1,1.9,1.0,0.6,0.7,0.7,1.0,1.1,1.1,1.3,1.4,,,,,,,,,,,,,,,,,,,
valueBeforeEbitda,-498.3,33.2,,6.6,6.3,4.0,9.7,9.2,5.4,5.9,9.8,5.2,6.6,4.5,3.6,3.3,4.7,3.5,2.9,4.7,3.1,4.6,6.0,6.3,7.2,8.5,7.5,6.6,11.7,7.9,4.8,3.9,,,,,,,0.4,10.2,86.9,7.1,,,,,,,-143.9,26.0,7.9,12.4
roe,-0.016,0.021,0.087,0.109,0.287,0.301,0.339,0.293,0.303,0.255,0.161,0.148,0.103,0.112,0.138,0.14,0.158,0.214,0.255,0.278,0.337,0.294,0.239,0.155,0.109,0.081,0.12,0.113,0.121,,,,,,,,,,,,,,,,,,,,,,,
roa,-0.011,0.015,0.055,0.071,0.157,0.157,0.138,0.135,0.155,0.116,0.07,0.07,0.044,0.047,0.055,0.056,0.056,0.08,0.081,0.089,0.11,0.102,0.071,0.057,0.036,0.026,0.035,0.042,0.037,0.036,0.005,0.022,0.019,0.048,0.041,0.031,0.03,0.007,0.044,0.009,-0.001,0.023,-0.02,0.025,-0.178,-0.238,-0.242,-0.31,-0.017,0.031,0.066,0.102
daysReceivable,1969.0,1905.0,1257.0,1181.0,698.0,624.0,565.0,664.0,648.0,595.0,812.0,843.0,871.0,,,,,,,,,,,,,2.0,1.0,1.0,0.0,3.0,1.0,1.0,1.0,3.0,1.0,1.0,4.0,6.0,0.0,0.0,2.0,0.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,225.0,2.0
daysInventory,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
daysPayable,0,19,0,20,0,0,0,1,0,0,0,1,0,9,0,1,4,10,0,0,5,5,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,1,1,0,1,2,2,0,1
earningPerShare,-155,199,724,918,1789,1717,1445,1314,1203,927,542,499,296,782,942,914,867,1100,1233,1247,1449,1171,896,611,367,266,372,392,363,363,66,220,189,375,459,235,231,35,196,42,-3,94,-84,97,-899,-1172,-1253,-1248,-67,127,283,351
bookValuePerShare,11702.0,11603.0,11618.0,11568.0,7904.0,7447.0,5036.0,5348.0,4575.0,3967.0,3485.0,3619.0,3368.0,8277.0,8167.0,7846.0,5918.0,5734.0,5465.0,5172.0,5042.0,4541.0,4198.0,3809.0,3562.0,3423.0,3296.0,4054.0,3197.0,3160.0,2926.0,2885.0,2833.0,,,,,,,,,,,,,,,,,,,
equityOnTotalAsset,0.86,0.866,0.831,0.838,0.546,0.555,0.408,0.447,0.552,0.466,0.406,0.479,0.462,0.443,0.468,0.462,0.379,0.383,0.328,0.335,0.327,0.357,0.302,0.302,0.324,0.336,0.286,0.463,0.329,0.306,0.307,0.296,0.288,,,,,,,,,,,,,,,,,,,
equityOnLiability,6.1,6.4,4.9,5.2,1.2,1.2,0.7,0.8,1.2,0.9,0.7,0.9,0.9,0.8,0.9,0.9,0.6,0.6,0.5,0.5,0.5,0.6,0.4,0.4,0.5,0.5,0.4,0.9,0.5,0.4,0.4,0.4,0.4,0.4,0.2,0.3,0.3,0.7,1.0,1.0,1.1,1.1,1.2,1.3,1.0,1.7,1.1,1.9,1.7,1.3,1.5,3.9
currentPayment,7.5,7.9,6.5,9.9,2.5,2.6,1.9,2.1,2.9,1.9,1.7,1.9,1.8,1.8,2.3,2.5,2.6,3.7,2.2,2.2,2.1,1.9,2.1,2.5,2.4,2.5,2.1,2.1,2.3,1.9,1.4,1.4,1.4,1.4,1.2,1.3,1.3,1.6,1.9,1.9,2.0,2.0,2.0,2.1,2.9,2.5,2.0,2.6,2.6,3.1,2.4,4.7
quickPayment,7.5,7.9,6.5,9.9,2.5,2.6,1.9,2.1,2.9,1.9,1.7,1.9,1.8,1.8,2.3,2.5,2.6,3.7,2.2,2.2,2.1,1.9,2.1,2.5,2.4,2.5,2.1,2.1,2.3,1.9,1.4,1.4,1.4,1.4,1.2,1.3,1.3,1.6,1.9,1.9,2.0,2.0,2.0,2.1,2.9,2.5,2.0,2.6,2.6,3.1,2.4,4.7
epsChange,-1.778,-0.725,-0.212,-0.486,0.042,0.188,0.1,0.093,0.297,0.709,0.087,0.683,-0.621,-0.169,0.03,0.054,-0.212,-0.107,-0.011,-0.14,0.238,0.306,0.467,0.662,0.381,-0.285,-0.051,0.079,0.001,4.474,-0.699,0.164,-0.494,-0.183,0.953,0.016,5.482,-0.818,3.591,-14.804,-1.033,-2.118,-1.866,-1.109,-0.233,-0.064,0.004,17.426,-1.531,-0.55,-0.193,0.179
ebitdaOnStock,-44.0,635.0,1810.0,2638.0,7477.0,7136.0,7790.0,7215.0,6684.0,5471.0,3605.0,3392.0,3196.0,3467.0,3847.0,3729.0,4434.0,5942.0,6264.0,6230.0,7253.0,5968.0,4848.0,3251.0,2673.0,2210.0,2181.0,1777.0,1484.0,1217.0,258.0,759.0,,,,,,,698.0,184.0,20.0,338.0,,,,,,,-113.0,842.0,1743.0,2072.0
