,Q1-2023,Q4-2022,Q3-2022,Q2-2022,Q1-2022,Q4-2021,Q3-2021,Q2-2021,Q1-2021,Q4-2020,Q3-2020,Q2-2020,Q1-2020,Q4-2019,Q3-2019
ticker,TCI,TCI,TCI,TCI,TCI,TCI,TCI,TCI,TCI,TCI,TCI,TCI,TCI,TCI,TCI
quarter,Q1,Q4,Q3,Q2,Q1,Q4,Q3,Q2,Q1,Q4,Q3,Q2,Q1,Q4,Q3
year,2023,2022,2022,2022,2022,2021,2021,2021,2021,2020,2020,2020,2020,2019,2019
priceToEarning,24.4,9.6,9.6,7.5,12.5,13.9,9.7,9.0,5.2,16.5,17.1,11.8,36.0,21.5,40.0
priceToBook,0.9,0.6,0.7,0.7,1.4,2.0,2.1,1.8,1.0,1.3,1.8,0.8,1.0,1.7,1.0
valueBeforeEbitda,13.5,9.4,6.7,4.3,5.2,8.8,10.3,7.1,4.8,13.3,9.5,7.7,9.8,3.6,19.6
roe,0.036,0.06,0.097,0.128,0.154,0.212,0.277,0.26,0.243,0.087,0.111,0.071,0.029,0.08,0.026
roa,0.028,0.049,0.072,0.089,0.103,0.148,0.199,0.171,0.16,0.058,0.093,0.068,0.025,0.07,0.024
daysReceivable,1952.0,1694.0,1187.0,1030.0,917.0,875.0,650.0,661.0,755.0,1007.0,887.0,975.0,1226.0,,
daysPayable,56,2,16,8,3,14,19,25,11,25,17,21,10,31,20
earningPerShare,438,712,906,1168,1396,1713,1483,1309,1142,343,413,253,99,278,90
bookValuePerShare,12153,11940,11896,11803,12192,11850,6835,6410,5997,4295,3882,3661,3405,3595,3531
equityOnTotalAsset,0.888,0.865,0.786,0.808,0.708,0.761,0.693,0.554,0.601,0.57,0.769,0.965,0.793,0.826,0.912
equityOnLiability,8.0,6.5,3.7,4.2,2.4,3.2,2.3,1.2,1.5,1.3,3.3,27.9,3.8,4.7,10.3
currentPayment,7.8,6.4,3.9,4.3,2.8,4.0,3.1,2.1,2.4,2.3,4.3,31.6,27.5,12.8,10.2
quickPayment,7.8,6.4,3.9,4.3,2.8,4.0,3.1,2.1,2.4,2.3,4.3,31.6,27.5,12.8,10.2
epsChange,-0.385,-0.214,-0.224,-0.163,-0.185,0.155,0.133,0.146,2.324,-0.168,0.632,1.546,-0.643,2.093,-0.569
ebitdaOnStock,580,898,1518,1908,2302,3175,4374,3981,3491,1255,1546,988,385,995,348
grossProfitMargin,0.657,0.349,0.576,0.599,0.647,0.575,0.757,0.802,0.907,0.385,0.766,0.709,,0.523,0.481
operatingProfitMargin,0.302,0.158,0.388,0.471,0.553,0.429,0.656,0.703,0.849,0.016,0.664,0.644,,0.348,0.328
postTaxMargin,0.24,0.081,0.32,0.399,0.467,0.329,0.582,0.565,0.662,0.013,0.528,0.516,,0.234,0.253
debtOnEquity,0.1,0.0,0.1,0.0,0.2,0.2,0.2,0.4,0.3,0.7,0.3,0.0,0.2,0.2,0.0
debtOnAsset,0.1,0.0,0.1,0.0,0.2,0.2,0.2,0.2,0.2,0.4,0.2,0.0,0.2,0.1,0.0
debtOnEbitda,3.3,1.3,1.1,1.0,1.3,1.3,0.7,0.7,0.9,4.1,0.9,0.1,3.1,0.9,0.0
shortOnLongDebt,,,,,,,,,,,,,0.1,0.5,
assetOnEquity,1.1,1.2,1.3,1.2,1.4,1.3,1.4,1.8,1.7,1.8,1.3,1.0,1.3,1.2,1.1
capitalBalance,930,911,929,921,908,1108,620,568,551,412,372,346,389,382,318
cashOnEquity,0.32,0.368,0.067,0.201,0.247,0.24,0.073,0.082,0.241,0.185,0.001,0.05,0.272,0.085,0.12
cashOnCapitalize,0.365,0.534,0.108,0.295,0.33,0.159,0.028,0.054,0.215,0.161,0.001,0.065,0.649,0.179,0.148
revenueOnWorkCapital,0.2,0.2,0.3,0.4,0.4,0.4,0.6,0.6,0.5,0.4,0.4,0.4,0.3,,
capexOnFixedAsset,-0.186,-0.083,-0.314,-0.322,-0.346,-0.282,-0.094,-0.1,-0.05,-0.104,-0.165,-2.122,-2.089,-2.02,-1.957
revenueOnAsset,0.1,0.1,0.2,0.2,0.2,0.3,0.4,0.3,0.3,0.2,0.3,0.3,0.3,0.3,0.3
postTaxOnPreTax,0.9,0.6,0.8,0.9,0.8,0.8,0.8,0.8,0.8,,0.8,0.8,,1.4,1.3
ebitOnRevenue,0.302,0.158,0.388,0.471,0.553,0.429,0.656,0.703,0.849,0.016,0.664,0.644,,0.348,0.328
preTaxOnEbit,0.9,0.9,1.0,1.0,1.0,1.0,1.1,1.0,1.0,-0.1,1.0,1.0,1.0,1.0,1.0
payableOnEquity,0.1,0.2,0.3,0.2,0.4,0.3,0.4,0.8,0.7,0.8,0.3,0.0,0.3,0.2,0.1
ebitdaOnStockChange,-0.354,-0.408,-0.204,-0.171,-0.275,-0.274,0.099,0.14,1.781,-0.188,0.566,1.565,-0.613,1.86,-0.421
bookValuePerShareChange,0.018,0.004,0.008,-0.032,0.029,0.734,0.066,0.069,0.396,0.107,0.06,0.075,-0.053,0.018,0.029
