,Q1-2023,Q4-2022,Q3-2022,Q2-2022,Q1-2022,Q4-2021,Q3-2021,Q2-2021,Q1-2021,Q4-2020,Q3-2020,Q2-2020,Q1-2020,Q4-2019,Q3-2019,Q2-2019,Q1-2019,Q4-2018,Q3-2018,Q2-2018,Q1-2018,Q4-2017,Q3-2017,Q2-2017
ticker,VCI,VCI,VCI,VCI,VCI,VCI,VCI,VCI,VCI,VCI,VCI,VCI,VCI,VCI,VCI,VCI,VCI,VCI,VCI,VCI,VCI,VCI,VCI,VCI
quarter,Q1,Q4,Q3,Q2,Q1,Q4,Q3,Q2,Q1,Q4,Q3,Q2,Q1,Q4,Q3,Q2,Q1,Q4,Q3,Q2,Q1,Q4,Q3,Q2
year,2023,2022,2022,2022,2022,2021,2021,2021,2021,2020,2020,2020,2020,2019,2019,2019,2019,2018,2018,2018,2018,2017,2017,2017
priceToEarning,35.0,11.5,9.4,7.0,11.1,15.6,14.3,15.1,10.9,12.1,7.3,4.5,3.4,6.3,8.2,7.1,7.9,8.1,10.6,9.4,13.0,12.4,10.7,
priceToBook,2.7,1.5,1.9,1.5,2.5,3.6,3.1,3.3,2.1,2.1,1.1,0.8,0.6,1.1,1.3,1.3,1.5,1.8,2.5,2.4,3.1,2.7,2.3,
valueBeforeEbitda,17.1,10.9,8.3,6.6,7.8,8.4,11.8,14.2,14.2,10.2,11.6,6.3,5.3,3.2,5.3,6.3,4.8,5.1,5.3,6.8,8.1,12.6,12.2,10.9
roe,0.075,0.133,0.202,0.243,0.269,0.271,0.267,0.254,0.221,0.179,0.159,0.187,0.169,0.18,0.165,0.179,0.192,0.247,0.271,0.364,0.354,0.311,0.312,0.405
roa,0.033,0.056,0.089,0.108,0.123,0.12,0.135,0.126,0.114,0.098,0.093,0.105,0.096,0.101,0.09,0.09,0.109,0.127,0.137,0.153,0.171,0.138,0.139,0.139
daysReceivable,940.0,788.0,702.0,608.0,617.0,568.0,600.0,640.0,725.0,898.0,951.0,834.0,833.0,,,,,,,,,,,
daysPayable,27,79,45,20,11,95,15,22,12,39,71,18,7,5,57,4,11,3,6,1,6,6,19,1
earningPerShare,1199,1986,2989,3461,3712,3425,3157,2622,2153,1765,1422,1549,1398,2081,1873,1904,2080,2470,2616,2735,2609,1967,1753,1449
bookValuePerShare,15698,14846,15065,16323,16343,14952,14485,12120,11224,10382,9185,8568,8296,12166,11389,10504,10858,10939,11337,10798,10784,9067,7972,4243
equityOnTotalAsset,0.458,0.456,0.42,0.435,0.419,0.393,0.464,0.46,0.522,0.539,0.593,0.555,0.505,0.559,0.578,0.565,0.657,0.56,0.512,0.454,0.5,0.472,0.495,0.356
equityOnLiability,0.8,0.8,0.7,0.8,0.7,0.6,0.9,0.9,1.1,1.2,1.5,1.2,1.0,1.3,1.4,1.3,1.9,1.3,1.1,0.8,1.0,0.9,1.0,0.6
currentPayment,1.9,1.9,1.8,1.8,1.8,1.7,2.0,1.9,2.1,2.2,2.5,2.2,2.0,2.3,2.4,2.3,3.0,2.3,2.1,1.9,2.1,2.0,2.0,1.5
quickPayment,1.9,1.9,1.8,1.8,1.8,1.7,2.0,1.9,2.1,2.2,2.5,2.2,2.0,2.3,2.4,2.3,3.0,2.3,2.1,1.9,2.1,2.0,2.0,1.5
epsChange,-0.396,-0.336,-0.136,-0.067,0.084,0.085,0.204,0.218,0.22,0.241,-0.081,0.107,-0.328,0.111,-0.016,-0.085,-0.158,-0.056,-0.043,0.049,0.326,0.122,0.21,0.24
ebitdaOnStock,3382,4400,5549,6992,9713,8827,7914,6542,8496,6944,5891,6437,5488,6249,5705,6866,7612,8884,9291,12088,11265,8708,8567,7790
grossProfitMargin,0.53,0.349,0.597,0.491,0.825,0.71,0.568,0.71,0.556,0.738,0.616,0.935,0.434,0.756,0.721,0.532,0.8,0.666,0.748,0.693,0.831,0.606,0.799,0.759
operatingProfitMargin,0.476,0.326,0.556,0.481,0.79,0.62,0.537,0.67,0.525,0.716,0.526,0.888,0.4,0.711,0.661,0.508,0.753,0.519,0.688,0.683,0.799,0.502,0.729,0.716
postTaxMargin,0.146,0.036,0.235,0.289,0.524,0.413,0.358,0.468,0.375,0.527,0.341,0.504,0.313,0.475,0.435,0.344,0.552,0.323,0.416,0.434,0.582,0.337,0.486,0.501
debtOnEquity,1.0,1.0,1.0,0.9,1.0,1.0,0.7,0.7,0.7,0.6,0.5,0.5,0.5,0.4,0.3,0.3,0.0,0.3,0.2,0.4,0.4,0.5,0.4,0.6
debtOnAsset,0.5,0.4,0.4,0.4,0.4,0.4,0.3,0.3,0.4,0.3,0.3,0.3,0.3,0.2,0.2,0.2,0.0,0.2,0.1,0.2,0.2,0.2,0.2,0.2
debtOnEbitda,5.3,3.8,2.6,2.3,2.1,2.1,1.7,1.8,1.9,1.8,1.5,1.4,1.2,1.2,1.1,1.3,0.8,1.0,0.7,0.9,0.7,1.1,0.9,1.0
assetOnEquity,2.2,2.2,2.4,2.3,2.4,2.5,2.2,2.2,1.9,1.9,1.7,1.8,2.0,1.8,1.7,1.8,1.5,1.8,2.0,2.2,2.0,2.1,2.0,2.8
