,Q1-2023,Q4-2022,Q3-2022,Q2-2022,Q1-2022,Q4-2021,Q3-2021,Q2-2021,Q1-2021,Q4-2020,Q3-2020,Q2-2020,Q1-2020,Q4-2019,Q3-2019,Q2-2019,Q1-2019,Q4-2018,Q3-2018,Q2-2018,Q1-2018,Q4-2017,Q3-2017,Q2-2017,Q1-2017,Q4-2016,Q3-2016,Q2-2016,Q1-2016,Q4-2015,Q3-2015,Q2-2015,Q1-2015,Q4-2014,Q3-2014,Q2-2014,Q1-2014,Q4-2013,Q3-2013,Q2-2013,Q1-2013,Q4-2012,Q3-2012,Q2-2012,Q1-2012,Q4-2011,Q3-2011,Q2-2011,Q1-2011,Q4-2010,Q3-2010,Q2-2010
ticker,VDS,VDS,VDS,VDS,VDS,VDS,VDS,VDS,VDS,VDS,VDS,VDS,VDS,VDS,VDS,VDS,VDS,VDS,VDS,VDS,VDS,VDS,VDS,VDS,VDS,VDS,VDS,VDS,VDS,VDS,VDS,VDS,VDS,VDS,VDS,VDS,VDS,VDS,VDS,VDS,VDS,VDS,VDS,VDS,VDS,VDS,VDS,VDS,VDS,VDS,VDS,VDS
quarter,Q1,Q4,Q3,Q2,Q1,Q4,Q3,Q2,Q1,Q4,Q3,Q2,Q1,Q4,Q3,Q2,Q1,Q4,Q3,Q2,Q1,Q4,Q3,Q2,Q1,Q4,Q3,Q2,Q1,Q4,Q3,Q2,Q1,Q4,Q3,Q2,Q1,Q4,Q3,Q2,Q1,Q4,Q3,Q2,Q1,Q4,Q3,Q2,Q1,Q4,Q3,Q2
year,2023,2022,2022,2022,2022,2021,2021,2021,2021,2020,2020,2020,2020,2019,2019,2019,2019,2018,2018,2018,2018,2017,2017,2017,2017,2016,2016,2016,2016,2015,2015,2015,2015,2014,2014,2014,2014,2013,2013,2013,2013,2012,2012,2012,2012,2011,2011,2011,2011,2010,2010,2010
priceToEarning,-22.9,-17.4,-3837.1,54.9,11.4,11.4,10.3,8.5,5.8,9.1,17.1,34.2,-10.7,21.1,29.2,18.3,17.5,10.5,8.4,6.7,8.0,7.0,10.6,10.1,10.0,12.6,10.4,16.3,21.2,31.5,10.0,5.0,5.9,,,,,,,,,,,,,,,,,,,
priceToBook,1.5,0.7,1.6,1.6,2.9,3.0,2.9,2.3,1.6,1.2,0.8,0.7,0.8,0.7,0.7,0.7,0.7,0.6,0.8,0.7,1.0,0.8,1.1,1.1,0.8,0.8,0.8,0.8,0.8,0.9,1.8,1.5,1.8,,,,,,,,,,,,,,,,,,,
valueBeforeEbitda,-14.6,-14.3,-167.9,25.9,6.7,5.7,7.5,8.0,6.4,8.1,23.0,25.2,-5.3,14.5,23.8,21.2,17.4,12.2,7.3,4.5,6.1,10.2,10.0,7.0,,8.0,11.7,10.8,15.8,17.4,7.1,2.5,,,,,,,,,,,,,,,,,,,,
roe,-0.072,-0.048,0.0,0.029,0.291,0.305,0.326,0.311,0.305,0.136,0.046,0.021,-0.073,0.032,0.025,0.037,0.037,0.064,0.111,0.116,0.146,0.123,0.11,0.112,0.083,0.067,0.1,0.066,0.052,,,,,,,,,,,,,,,,,,,,,,,
roa,-0.029,-0.021,0.0,0.011,0.103,0.129,0.137,0.135,0.136,0.062,0.023,0.01,-0.034,0.016,0.012,0.019,0.018,0.036,0.055,0.06,0.07,0.065,0.049,0.053,0.043,0.035,0.039,0.027,0.026,0.018,0.058,0.11,0.106,0.118,0.053,0.004,0.009,0.002,-0.025,-0.025,-0.041,-0.037,-0.082,-0.064,-0.087,-0.127,-0.051,-0.058,-0.01,0.021,0.023,0.11
daysReceivable,1026.0,795.0,601.0,559.0,473.0,486.0,472.0,525.0,643.0,850.0,1144.0,1142.0,1099.0,,,,,,,,,,,,,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,5.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
daysPayable,3,7,2,34,6,25,3,237,29,163,2,137,13,119,5,8,8,0,6,29,1,21,25,50,12,27,38,11,22,1,1,2,3,2,2,4,3,4,2,4,2,2,1,1,1,1,1,0,1,1,1,1
earningPerShare,-649,-422,-2,196,2042,2026,2012,1835,1612,714,239,106,-356,329,257,376,383,653,1013,1033,1300,1059,818,803,596,469,526,341,266,198,612,985,983,1001,458,47,65,14,-154,-245,-292,-262,-648,-601,-933,-1202,-450,-637,-117,197,183,816
bookValuePerShare,10070.0,9803.0,7038.0,6929.0,8006.0,7719.0,7114.0,6769.0,6017.0,5550.0,5216.0,5040.0,4557.0,9946.0,10230.0,10142.0,10294.0,10569.0,10639.0,10432.0,10387.0,9916.0,7627.0,7401.0,7488.0,7258.0,7208.0,6997.0,6891.0,6788.0,3349.0,3324.0,3293.0,,,,,,,,,,,,,,,,,,,
